,Name,Select Printer,Slicer Project File,Printer Requested,Printer Note,Material 1 Qty,User Type,Material 1,Material 2 Cost/Unit,Printed On,Material 2 Qty,Material 2,Material 2 Cost/Unit,Printed On,Print Cost,Sliced by,Print Time (Hours),Print ID,Creation Log,Material_Category1
7,FMEP Cubes 1,Komodo,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1878316561/63d2cc2c-a0b7-416e-ac14-5a360fbeb835.3mf,Bambu Labs,X1E - ABS White/ASA White,420.82,Graduate,Bambu Labs ABS,0.05,Bambu Labs,0,Bambu Labs ASA,0.05,Bambu Labs,21.04,User,14,8171785086," Jan 6, 2025 12:12 PM",ABS
8,AED_Drone_Parts_1,Tigress,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1889212936/eded5d5c-8dd0-4dc9-8123-e02f6a1e3c82.3mf,Bambu Labs,X1C - Black PLA/White PLA,55.0,Graduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,2.75,Makerspace Staff,2,8214378089," Jan 10, 2025 1:36 PM",PLA
9,AED_Drone_Parts_2,Master Shifu,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1889217475/dddec2c6-2176-400b-8716-1409e112adf8.3mf,Bambu Labs,X1C - Blue PLA/Gray PLA,97.0,Graduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,4.85,User,3,8214392486," Jan 10, 2025 1:38 PM",PLA
10,Top-Down Mount v1,Master Oogway,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1895401679/2f20d2b5-4a12-48cf-b9ac-65df1b43f064.3mf,Bambu Labs,X1C - White PLA/Purple PLA,274.64,Graduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,13.73,User,9,8238119583," Jan 14, 2025 10:53 AM",PLA
11,BES Base,Viper,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1903771478/3f67e34e-68f5-4bca-8b89-bf9b6e087bcc.3mf,Bambu Labs,X1C - White ASA/Teal ASA,36.5,Graduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,1.83,User,1,8269757333," Jan 17, 2025 2:40 PM",PLA
12,LilahProjectTest1,Tai Lung,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1917779011/ee2e26a8-dc85-4ecf-8808-d843a19ff3dc.3mf,Bambu Labs,X1C - Gray PLA/Red PLA,58.12,Undergraduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,2.91,User,2,8321390406," Jan 24, 2025 1:43 PM",PLA
13,Gel_fixtures,Monkey,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1920452820/0cb718ac-5b5a-44a4-b672-7e971cb92975.3mf,Bambu Labs,X1C - Black PLA/Blue PLA,129.1,Undergraduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,6.46,User,3,8331849542," Jan 27, 2025 9:38 AM",PLA
14,Bensch 2025-01-27 Plate 1,Mr. Ping,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1920508126/0d247d6b-58ff-4ca0-ba2b-c21bade83392.3mf,Bambu Labs,X1C - Green PLA/White PLA,67.79,Undergraduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,3.39,User,2,8332075134," Jan 27, 2025 9:56 AM",PLA
15,Bensch 2025-27-01 Plate 2,Mr. Ping,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1920519213/271fd98b-a6d1-4bde-9f9d-3c466a2ebbb3.3mf,Bambu Labs,X1C - Green PLA/White PLA,67.79,Undergraduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,3.39,User,2,8332118284," Jan 27, 2025 10:00 AM",PLA
16,Krishiv Dhupar,Mantis,https://uw-makerspace-team.monday.com/protected_static/2869940/resources/1920696453/103b33be-a5d4-4f3f-af5d-985d0fb0ebc3.3mf,Bambu Labs,X1C - White PLA/Dual PLA,59.0,Undergraduate,Bambu Labs PLA Matte,0.05,Bambu Labs,0,Bambu Labs PLA Matte,0.05,Bambu Labs,2.95,Makerspace Staff,2,8332840625," Jan 27, 2025 10:54 AM",PLA
